Category;Joke title;Joke; Rounded length of joke in tens of chars;;;
Kids;Pete Dominick: What You Really Look Like;You really wanna know what you look like to other people? Here's how I found out. Don't look at a picture of yourself or in the mirror. You really wanna know, have a child draw you.;18;;;
Kids;Hannibal Buress: Believe in Yourself;Whenever I eat at a restaurant I never put the napkin in my lap. People say, 'Hannibal, why don't you put the napkin in your lap?' Because I believe in myself. I believe in my ability to not spill food in my pants 'cause I'm a g**damn adult. And I've mastered the art of getting food from my plate to my mouth without messing up my jeans. You need to believe in yourself, too and get your life together, that's for babies. Have some confidence in your eating abilities and hand/eye coordination.;50;;;
Kids;Margaret Smith: Jewish Mom, Irish Catholic Dad;I actually come from a mixed marriage. My mom's Jewish and my dad's Irish Catholic alcoholic, so I whine on the inside.;12;;;
Kids;Stoopid Baby Names;"A mother was sitting on the couch reading a book when one of her children walked up to her and said, ""Mummy, why is my name Petal?"" 

The mother replied, ""Because when you were born, a petal fell on your head.""

The next baby walked up and asked, ""Mummy why is my name Rose?"" she replied,

""Because when you were born, a rose fell on your head.""

The last baby walked up to her and said, ""BLAS CLAFLAS YIFRASSAM TASSM POONNFFFIINRTY.""

The mother replied, ""Please be quiet, Refrigerator.""";49;;;
Kids;Al Madrigal: Talking Back;My son comes out of his room wearing these flood pants with holes in both knees. I have no idea where he found these pants. And I go, 'Dude, you gotta change your pants. You can't wear those pants.' He goes, 'I like these pants, these are my favorite pants, I'm gonna wear them.' I didn't know what to say, I'm a young dad, so I go, 'You're gonna be embarrassed.' He looks at me, steps to me a little bit, and goes, 'I'm not gonna be embarrassed. They're your friends. You're gonna be embarrassed.' I was like, 'Son of a bitch.';53;;;
Kids;Greg Giraldo: Commercials for STD Medications;You're sitting there with your kid -- you haven't even explained sex yet, now you've got to jump right to the genital herpes.;12;;;
Kids;John Mulaney: For Years;For years -- really, for years -- for years, I was a child.;6;;;
Kids;Mark Curry: No Halloween Costumes;We couldn't afford no Halloween costumes -- eight kids, please! Mama sent us down to the liquor store, put boxes on us. We didn't know what we were -- 'I don't know what we are. I don't know. She didn't tell us. I think we UPS? I don't know.';24;;;
Kids;Tracy Smith: My Sister's Kids;One of my sisters is pregnant for the fifth time. Spent 10 minutes with her four kids, and my ovaries tied themselves in a knot.;13;;;
Kids;Twisted Baby Joke;"What is more fun that stapeling babies to a wall?


Ripping them off.";7;;;
Kids;Subway Series School;"On the first day of school, a teacher asked her class, ""Who here is a Mets fan?"" 

Every student knew that she loved the Mets, so they replied bye raising their hands, except for one girl, Rosie. 

The teacher asked, ""Who do you like, little girl?"" Rosie replied, ""I'm a Yankees fan and I hate the Mets.""

The teacher asked why and Rosie told her that her parents were Yankees fans, so she was too.  The  teacher said to the class, ""So if Rosie's parents were idiots, what would that make her?"" 

Rosie chimed in, ""A Mets fan!!!""";53;;;
Kids;John Mulaney: Terrible at Math;I went to this grade school where, one year, what they decided to do was divide all the kids up into two different math groups, based on your abilities. The first group you could be in was called the Blue Angels, and it was named after the famous aviators. And the other group was called Group Two. We were a swell bunch of kids in Group Two. The best part of it is, we picked the name ourselves. The teacher was like, 'What are we going to call you, group two?' And we're like, 'Bingo! You got it right there. Four and five is 12.';53;;;
Kids;Myq Kaplan: Losing a Cell Phone;I lost my cell phone... and that is nerve wracking. You ever lose a cell phone? It's like losing a child -- or not exactly. It's like losing a child who had memorized all the names and numbers of all your friends and family. It's like losing an autistic child.;26;;;
Kids;Natasha Leggero: I Didn't Know I Was Pregnant Stories;"Every story on that show: 'I just finished doing the Batman ride at Six Flags...I look down, there is a baby on the street. I walk two blocks; the damn thing's following me.'";17;;;
Kids;Ice Cream Lessons;"Where would you learn how to make ice cream?      

At Sundae school.";7;;;
Kids;Al Madrigal: Too Old for Breastfeeding;I got distracted by one of the hippie moms who was breastfeeding a kid that was way too old to be breastfeeding. You ever seen that before? It's disgusting. A child should not be old enough to comment on the quality. Like, 'Do you go to Cheesecake Factory, because this is delicious. It's like dulce de leche meets Riesling coming out of this thing, and I've got to say thank you.';38;;;
Kids;Tom Rhodes: Childhood Dreams;When I was a little boy, I wanted to be an astronaut. That was, like, my first dream in life. Whatever happened to childhood dreams like that, huh? How come this ain't a room full of ballerinas and firemen?;21;;;
Kids;Wanda Sykes: Don't You Regret Not Having Kids?;People say, 'Well don't you regret not having kids?' And I go, 'No, not really.' And then if they keep asking, I always say this, 'Well, you know, maybe I'll adopt.' But I don't mean that. It's just something I say to make me sound like a nicer person.;25;;;
Kids;Pregnant Woman Gets On a Bus;"A pregnant woman boards a bus. After taking a seat, she notices a man smiling at her. She feels self-conscious and changes her seat, but he seems even more amused.

She moves a third time, and he starts to giggle. On her fourth move, he bursts out laughing.

They both get off the bus at the next stop. The pregnant woman is furious and demands an explanation. ""What exactly is so damn funny?""

""I'm sorry, ma'am,"" replies the giggling man. ""But I couldn't help noticing you're pregnant, and when you first sat down, you sat under an advertisement which read 'Coming Soon: The Gold Dust Twins.' Then you sat under an ad that read 'Sloan's Liniments Remove Swelling.' Then you moved under a deodorant advertisement which read 'William's Stick Did the Trick.' And I just couldn't hold it in any longer when you moved a fourth time and sat under a tire advertisement which read 'Dunlop Rubber Would Have Prevented This Accident.'""";93;;;
Kids;Hang Man;"A boy comes running into the kitchen and says, ""Mommy, mommy! Grandpa hanged himself in the living room!"" 

His mother runs into the living room, and sees no one there.  Angrily, she says, ""Listen. You should never lie like that to me again, do you understand!?!""

""I'm sorry,"" says the boy.  ""I was just kidding. He hanged himself in the basement.""";35;;;
Kids;In a Year, I'll Be Five;"A man escaped jail by digging a hole from his jail cell to the outside world. When he was finally done, he emerged in the middle of a preschool playground.

""I'm free, I'm free!"" he shouted.

""So what,"" said a little girl. ""I'm four.""";23;;;
Kids;Chris Hardwick: Grade School;When I was in grade school I was into chess club, Latin club, D&D, computer camp -- everything that made vaginas go away.;12;;;
Kids;K.P. Anderson: Antidepressants for Kids;Any kid that has any problem now, they just shove pills down their mouth. Like, every kid 17 years old, 'Oh, we got him on Prozac.' What does a 17-year-old need Prozac for to get through life? When I was 17, my dad's version of anti-depressants would be to, like, hold my head underwater 'til I got a little more excited about living.;33;;;
Kids;Brett Butler: Wait 'Til Your Father Gets Home;She'd say, 'Wait 'til your father gets home.' I'm like, 'Mama, it's been eight years.';9;;;
Kids;Lisa Landry: Not Ready for Children;"My husband wants a baby. He's older so he's ready to have a baby. I'm not ready at all. I'm too irresponsible; I'd make a horrible mother. I'd probably forget to pick the kid up from therapy.";19;;;
Kids;Where Babies Come From;"A little girl came home from school and told her mother that she just found out where babies come from.  Her mother said, ""Oh really? What were you told?""

The little girl said, ""First, Daddy's penis gets hard, and then, he puts it in Mommy's mouth... .""

Her mother interrupted her and said, ""Oh no, honey, that's where jewelry comes from.""";34;;;
Kids;Tom Segura: Didn't Know I Was Pregnant;This one was called 'I Didn't Know I Was Pregnant.' I saw that show, and I was like, 'I didn't know your vagina was Yankee Stadium.' Exactly how many people need to be in there before you realize somebody's in there?;22;;;
Kids;Lima;"What did the lima bean say before it went into the pot?

Sufferin' succotash!";8;;;
Kids;"Gimme an ""R""";"A young boy was having a hard time pronouncing the letter ''R,'' and all the other kids were teasing him about it.  To help him out, the teacher gave him a sentence to practice at home: ''Robert gave Richard a rap in the ribs for roasting the rabbit so rare.''  
  
A few days later, the teacher asked the boy to recite the sentence out loud. 
 
The boy nervously replied, ''Bob gave Dick a poke in the side because the bunny wasn't cooked enough.''";45;;;
Kids;Dave Attell: Caught Watching Porno;One time, my own father caught me watching a porno movie. The one thing you don't want to hear in that situation is, 'Son, move over.';13;;;
Kids;Anthony Jeselnik: Kid in Africa;I've got a kid in Africa that I feed, that I clothe, that I school, that I inoculate for 75 cents a day. Which is practically nothing compared to what it cost to send him there.;18;;;
Kids;Three-Legged Race;"One day a traveling salesman was driving down a back country road at about 30 mph when he noticed that there was a three-legged chicken running alongside his car.  

He stepped on the gas but at 50 miles per hour. The chicken was still keeping up. After about a mile of running the chicken ran up a farm lane and into a barn behind an old farm house. 

The salesman had some time to kill so he turned around and drove up the farm lane.  He knocked at the door and when the farmer answered he told him what he had just seen. 

The farmer said that he was a geneticist and had developed this breed of chicken because he, his wife and his son each like a drumstick when they have chicken and this way they only have to kill one chicken.

""That''s the most fantastic thing I've ever heard,"" said the salesman. ""How do they taste?""

""I don't know,"" said the farmer. ""We've never caught one.""";89;;;
Kids;A Perfect Circle;"Q: What did the farmer use to make crop circles?

A:  A Protractor";7;;;
Kids;Keith Robinson: Difference in Reward Money;America's Most Wanted' -- can't stand that show. I don't mean to be a little, you know, whatever, but if you notice when they have rewards for the white kids, any amount of money'll do: '$50 million. Who's seen our little Joey?' Little black kid: 'Alright, $50 and a bucket of chicken. Who's seen him?';30;;;
Kids;Technically and Reality?;"One day, a little boy asks his father what  the difference is between 'technically' and   'reality.' 

""Son, I won't tell you the dictionary definition in fear that   it will confuse you. But to help you out, I'll give you something to do. Go ask your mother if   she will sleep with a bum for $500,000 and ask your sister is she'll sleep with the garbageman for the same amount.""  So, the little boy goes up to his mom.

""Mommy, would you ever sleep with a bum for $500,000?""  

""You bet your ass I would!"" exclaims the mother.  So the little boy goes up to his sister's   bedroom.

""Hey sis, would you sleep with the garbageman for $500,000?""

""I sure would!"" exclaims his sister.  

""Dad, Dad! Mom and sis both said they would. What does that mean?""

""Well, son,"" the father says. ""Technically, we're millionares but in reality we live with a couple of dirty whores!""";87;;;
Kids;Laura Kightlinger: Selfless Profession;Stand-up is such a selfless profession. You know, the only difference between me and a surgeon or a pediatrician is that when I approach a couple with a child and say, 'I'd like to keep him for a few days and do some bloodwork,' it's considered inappropriate.;26;;;
Kids;Joey Vega: Old School Slides;When I was a kid, the slide was four stories high and you had to climb up like a fireman. And you always bumped your shin on that last rung. And that slide -- it was metal sitting in the sun for nine days. There was no nighttime when I was a kid. There was just daylight. That was a giant skillet, that's what that was.;32;;;
Kids;Michael Colyar: New Father;Did I mention that I'm a new father? Yeah, my 13-year-old son just moved back in.;8;;;
Kids;Larry Amoros: Recent Surgery;I just got out of the hospital. I had some surgery. I had my mother removed from my back.;9;;;
Kids;Zip, Dick and Pea;"There were three boys in a classroom: one named Zip, one named Dick, and one named Pea. Their teacher leaves the room for a moment, so Zip gets on top of the cupboard, Dick goes inside the cupboard, and Pee jumps around outside.

The teacher returns and yells, ""Zip down, Dick out, and Pea in the corner!""";30;;;
Kids;Chelsea Handler: Waiting for College;When I was a little girl, I was like, 'Oh my god, I'm gonna wait 'til I go to college to lose my virginity,' and all these big dreams. Then, the third grade ended up being such a nutty year -- and I'm so glad I didn't wait for college 'cause I didn't end up getting accepted anywhere.;28;;;
Kids;Kite Tails and Rejection;"One day a father and son are flying a kite.  The kite is going in circles and crashing.  The father comforts the son and the mother yells, ''You need more tail!''  

The father then tells the son, ''Son, I will never understand your mom.  Last night when we were having ''fun'', I asked her for more tail and she told me to go fly a kite.''";34;;;
Kids;The Twinkie Joke;"A 14-year-old girl walks into a hairdresser's shop with a Twinkie in her hand.  She sits on the seat and the barber puts the plastic cover on her.  As he is cutting her hair, she takes out her Twinkie and starts to eat it, not realizing that her cut hair is falling on her Twinkie.  The hairdresser, being polite, looks down at her, smiles playfully, and says, ''Young lady, did you know that you're getting hair on your Twinkie?''      

She smiles back, and says, ''Yes, I know...I'm growing boobs too!''";51;;;
Kids;Louis Ramey: A Newborn Child;If you're a guy and you've never seen a newborn child, let me tell you now, it's the miracle of life. Nothing more precious, nothing more delicate, nothing quite as ugly as a newborn child. They got no hair, they got no teeth -- they're like aliens.;25;;;
Kids;Jeff Dunham: Illusion of Mother?s Day Relaxation;"Jeff Dunham: Hey Mom' you deserve a day off.
Peanut: Until then, Happy Mother's Day!";8;;;
Kids;Tony Camin: Cheap Aquarium;My father was too cheap to take me to the big downtown aquarium. This cheap bastard, he would just take me to the fish market. 'Look, Tony, there's the halibut. Shhh, they sleep in piles.' I'm like, 'Dad, they're breaded.' 'That's their blankie.';25;;;
Kids;Chelsea Handler: Anybody Can Have One;I don't like people who have babies and act like they did something that the rest of us can't figure out. Anybody can have one, OK? I could have had three if I had gone through with any of my pregnancies.;20;;;
Kids;Jo Koy: Three-Year-Old Son;I've got a three-year-old son. It's like living with a crazy midget.;7;;;
Kids;Damon Williams: Death by Mosquito;A lot of things can kill you now. Ain't this ridiculous? Mosquitoes can kill you now. Do you know how mad I would be if I died from a mosquito bite? I'm a black man, grew up on the south side of Chicago. I've avoided drug dealers, gang bangers, sickle cell, high blood pressure, the police -- and now a mosquito gonna take me out?;33;;;
Kids;J.J. Wall: Teenage Future;My daughter will turn 13 in the year 2001. I don't even want to know what kind of sexual practices teenage kids are going to be into by the year 2001. With any luck, everything will be so polluted, she'll be wrapped head-to-toe in plastic and no one will be able to lay a hand on her -- but that's just a father's hope for the future.;33;;;
Kids;Larry Amoros: Move Back Home;Right after the earthquake, my mother calls me up. She goes, 'Why don't you move back home?' I said, 'Well, quite frankly, I'd rather die suddenly in an act of God than have you slowly peck me to death for 45 years.';22;;;
Kids;Let Them Eat Homework;"Why'd the boy eat his homework?

His teacher told him it was a piece of cake!";8;;;
Kids;Neal Brennan: Invention of Football;Football sounds like it's invented by an eight-year-old girl. 'Like, all right, here's the deal, there's a ball and you get four tries to take the ball ten yards. In between each try we're going have a huddle and we're going to tell secrets about the other team. By the way, we're all wearing Capri pants. At half time the Black Eyed Peas are going to play.';36;;;
Kids;Why did the zombie baby cross the road?;"Why did the zombie baby cross the road?

To wreak an unholy vengeance upon the driver of the car who's standing there, scratching his head, trying to figure out how a zombie baby's head can be beneath his car tires but the rest of the body is nowhere to be seen-- unless he were to turn around and notice the zombie baby body bearing down on him, coming ever closer, ready with grasping, pudgy zombie baby fingers to tear and rend at the flesh of this self-same driver who ran his head over, on the dark and rain-swept road that snakes down from the castle of the madman who's creating an army of zombie babies to do his dark, libidinal bidding.";64;;;
Kids;Cory Kahaney: 14-Year-Old Daughter;I have a 14-year-old daughter. I had her when I was five.;6;;;
Kids;Steve McGrew: When You Piss Off Your Mom;Your dad'll whack you a couple of times and move on. You piss off your mom: their eyes roll back, that third lip comes down. She whipped me with a dog collar one time -- dog still in it.;19;;;
Kids;Jeff Stilson: Naming the Baby;It's very stressful becoming a parent. You know what was really hard for me? Coming up with names for our children. I panic when I have to name a new document on my computer. Damn, everybody uses 'miscellaneous.';21;;;
Kids;Al Jackson: Parent Teacher Conferences;Every morning you got to find a really nice way to tell someone that their child is mildly retarded. 'Cause it's always the same question, they'd be like, 'Look Mr. Jackson, our son got an F in your class. Why he got an F?' And I'll tell them, 'Because I couldn't give that little bastard a G.';29;;;
Kids;Jackie Kashian: Selling Candy for Little League;"I went to all the houses in the neighborhood, Dad, except for the houses that said, ""No soliciting"" 'cause the coach said you're not supposed to go there 'cause those people don't want you.' He freaked -- 'You didn't go to the no solicitors? Tomorrow, you go to the no solicitors. Do you know why those people got those signs up? They'll buy anything. They didn't even want those signs.'";39;;;
Kids;Jackie Kashian: Funny Parents;"I love my parents. They are very, very funny people. I come by this very honestly. They're not nice people; they're funny. They make up for it with the funny. Granted, I was a mouthy child, I will give them that, but my mother, when she'd have enough of it, she'd say, 'Come here, sit on my lap. Let's look up orphanages.'";32;;;
Kids;A man's logic;"A couple wants a divorce, but first they must decide who will be the main guardian of their child. The jury asks both the man and woman for a reason why they should be the one to keep the child. So the jury asks the woman first. She says, ""Well I carried
this child around in my stomach for nine months and I had to go through a painful birth
process, this is my child and apart of me."" The jury is impressed and then turns to ask the man the same question. The man replies, ""OK, I take a coin and put it in the drink  machine and a drink comes out, now tell me who does the drink belong to me or the machine""";61;;;
Kids;Mark Roberts: Joining the Cub Scouts;I didn't want to join the Cub Scouts, my father made me. I was willing to join the Cub Scout Reserves.;10;;;
Kids;Mike Birbiglia: I Was an Altar Boy;I was an altar boy when I was a kid -- and the answer is 'no.';6;;;
Kids;Jeff Allen: Vacationing Without the Kids;Finally did what came natural to us: we just stood on a beach and yelled at other people's kids.;10;;;
Kids;Margaret Smith: You Don't Know What Love Is;You don't know what love is 'til you become a parent. You don't know what love is 'til you fish a turd out of the bathtub for someone, then have to act positive about it.;17;;;
Kids;Eugene Mirman: Good Father;I don't have a kid, but I think that I would be a good father, especially if my baby liked to go out drinking.;11;;;
Kids;Joey Kola: Six-Year-Old Son;"He wakes up, and he wants a cookie for breakfast. He knows she's going to say no. So, he comes to me at six o'clock in the morning. You're an intelligent man. If somebody looks at you at six o'clock in the morning and goes, 'I want a cookieee!', what do you do? You give him the cookie. He could've asked for crack; I would've said, 'Come over here with the pipe. Let's get high and watch ""Rugrats"" together.'";41;;;
Kids;Jay Larson: Can't Have Kids;When you have children, at some point, they're going come into your room late at night and ask you to investigate a noise they hear downstairs and I'm not ready to do that. Just have my daughter come in like, 'Daddy, I heard a noise downstairs.' 'Yeah, honey, I heard that noise too.' 'I'm really scared, Daddy.' 'Yeah, honey, I'm scared too. That's why I was curled up in a ball in the corner of the room.';41;;;
Kids;Wendy Liebman: Love the Zoo;Don't you love the zoo? I love the monkeys, those are my favorite. They're so cute. And my least favorite, those are the, uh -- with little heads, the -- the kids.;16;;;
Kids;Thea Vidale: Fighting Children;My children fight so much... It's like nature's way of saying you should have given head, isn't it? Sometimes on a bad day, I just look at mine and go, 'I could have swallowed you.';18;;;
Kids;Kathy Griffin: Giving My Parents the Keys;They have keys to my house, which is -- that's a mistake. They're supposed to be emergency keys, and their idea of an emergency is to come in and leave me apple juice.;17;;;
Kids;Freddy Soto: Father's Advice;Just remember where you came from: my balls.;4;;;
Kids;Catching Rabbits;"Q: How do you catch a unique rabbit?  
A: Unique up on it. 
Q: How do you catch a tame rabbit?   
A: Tame way.";11;;;
Kids;Math Sucks;"Q: Why is the math book always upset?

A: Because it has a lot of problems.";8;;;
Kids;Chris Zito: Stage of Development;I've been a dad for awhile. I've noticed that certain things don't change about a child, no matter what stage of development they're in. When they're really small, just learning how to walk, you always have to tell them the same thing over and over again: 'Watch out. Don't touch that. Don't put that in your mouth.' Now my daughter is almost a teenager. Are we all on the same page on that? Because I really don't want to have to draw a diagram for that one.;46;;;
Kids;Mike DeStefano: No Question;Gay guys are born gay, there's no question. I know for a fact: I was in an incubator next to a gay baby. I'm telling you, I was just laying there incubating. I look over, and he was polishing and waving to me.;21;;;
Kids;Karen Rontowski: Nephew's Birthday;For his birthday, my sister gets him a pinata... I'm not allowed over anymore because I kept going, 'Hey Evan, I bet there's some candy in that lamp over there.';16;;;
Kids;Lisa Landry: One Virgin in Catholic School;"We had 300 girls in my high school; we had one virgin -- one. She was out on the front lawn. She was our Lady of Lost Hope.";12;;;
Kids;Eugene Mirman: Definition of Marriage;Marriage is when two people love each other so much that they promise that if they ever, ever stop they'll fill out tons of paperwork.;13;;;
Kids;Fred Stoller: Growing Up in the 60s;I have an older sister. During the 60s, I was a little kid, she was a teenager. She went through a phase where she would experiment with drugs. What that meant is she'd take a bunch of pills, go, 'I wonder what these do,' and she'd shove them in my mouth.;26;;;
Kids;Mommy, Mommy!;"""Mommy, Mommy! Where have all your scabs gone?""


""Shut up and eat your corn flakes.""";8;;;
Kids;Shine On You Crazy Fratboy!;"How many frat boys does it take to screw in a lightbulb?

One but he has to get it drunk first.";10;;;
Kids;Doug Stanhope: Adoption;If you need a baby that bad, go down to the pound and get one. Not even a baby -- go get an old man. There's unwanted people of all ages, pre-made and waiting for you.;17;;;
Kids;Unappreciated Hanukkah Gift;"A Jewish guy's mother gives him two sweaters for Hanukkah. The next time he visits her, he makes sure to wear one.

As he walks into the house, his mother frowns and asks, ""What -- you didn't like the other one?""";21;;;
Kids;Bill Larkin: Twin Brother;Tonight, I'm just going to sing you a song. It's a song I wrote for my twin brother, and that's no joke, I do have a twin brother. I wrote this song for him when he was eight years old, and at the time, I was -- eight.;22;;;
Kids;Jeff Stilson: Men in the Delivery Room;I was present for all of their births. That's expected of men now. We gotta be there when the kids are born, and I'm still not sure what our role is in the delivery room. As far as I can tell, it's like waiting for your luggage at baggage claim. You just stand there and peer into that void. 'God, I hope that one's mine.';32;;;
Kids;Tom Shillue: Things Your Dad Used to Do;You know, guys, when you catch yourself doing those things your dad used to do, those things that used to embarrass you? And then you catch yourself doing the same thing? I caught myself doing the 'fold tuck' in public the other day -- my dad could tuck his pants in anywhere.;28;;;
Kids;Amy Schumer: Worried About the Pictures;I just went through a break up, actually. I'm not worried about meeting someone else or being lonely. I'm just worried about all the pictures. But my mom always told me, you know, ever since I was a little girl, 'Never put your face in them.';24;;;
Kids;Time Flies;"Q: Why did the kid throw the clock out the window?
A: He wanted to see time fly.";8;;;
Kids;Wendy Spero: Take Your Daughter to Work Day;My mom's a sex therapist. On Take Your Daughter to Work Day, I hooked up with two guys.;9;;;
Kids;That's Cheesy;"Q: Why did the mouse go to the party?                                       

A: He heard they were playing Parcheesi!";12;;;
Kids;Brian Kiley: First Confession;It's been a big year for my eight-year-old. Two months ago, he made his first confession. Took the cops four hours to break him. He's got some willpower.;15;;;
Kids;Kyle Kinane: Always a Miracle;"I'm in my 30s; everybody's having kids or miracles. 'Oh, it's a miracle.'  It's always a miracle. I'm like, 'You had sex, right? Yeah? Then no, that's exactly what's supposed to happen from that.' I spend all my time preventing miracles; that is what's happening. I call it a miracle when the girl doesn't get pregnant. That's when I start getting spiritual.";36;;;
Kids;Bobby Lee: Roadside Corn Sales;I remember my first job -- it was selling corn on the side of the road. My dad hooked me up with that job. Thanks, Dad. I was sitting in my room minding my own business. My dad walked in, 'Hey loser, I got you a job-o.' I go, 'What is it?' 'You're gonna sell corn on the side of the road.' I go, 'Screw that.' 'No, no, no, no, screw you! You're gonna sell corn, or you're going to die! Corn or die!';40;;;
Kids;Johnny Sanchez: Bored as a Kid;When you're a kid, man, you just started doing something -- it was fun... Remember you'd be in the other room, bored, complete burnout time: 'Man, I'm bored, man.' You just make something up. It was just great. 'Alright, I'm gonna run in the kitchen, touch the refrigerator and come back!';29;;;
Kids;Milt Abel: Spankings;My wife and I are discussing whether we're going to spank our child or not. I say wait 'til she does something wrong.;12;;;
Kids;Al Jackson: Splitting Up Toy Soldiers;My cousins were all bigger than me, so they would take the army guys in the cool positions. So, the only dude I had left was the dude on the phone. So really, my army just looked like 10 gay guys waiting on their lattes at Starbucks.;23;;;
Kids;Kevin Shea: Adopted Family;"They adopted a bunch of us. There's a bunch of adopted kids. It's like they were collecting us or something, like Star Wars figures. They bought us in twos. It sucked for my brother 'cause they kept him in the box. They had to: he came with the helmet and the backpack; he was limited edition.";29;;;
Kids;Greg Fitzsimmons: On Breastfeeding;She goes, 'No, this is really good for his immune system.' I said 'Two years? I think at this time, we can safely dunk him in a bucket of polio.';14;;;
Kids;Little Girl on a Swing;"Q: Why did the little girl fall off the swing?

A: She had no arms.";7;;;
Kids;Chip Pope: Who's Your Daddy?;I found out that my girlfriend is adopted. I found out in a weird way. Last night, we're in bed, and I'm like, 'Who's your daddy? Who's your daddy? Who's your daddy?' And she goes, 'I don't know.' I'm like, 'What?' She's like, 'Yeah, there's an agency looking for him, and they don't have any clues.';30;;;
Kids;They're Busy;"One day, the phone rang, and a little boy answered.

""May I speak to your parents?""

""They're busy.""

""Oh. Is anybody else there?""

""The police.""

""Can I speak to them?""

""They're busy.""

""Oh. Is anybody else there?""

""The firemen.""

""Can I speak to them?""

""They're busy.""

""So let me get this straight -- your parents, the police, and the firemen are there, but they're all busy? What are they doing?""

""Looking for me.""";42;;;
Kids;Things I've Learned from My Children;"1. Garbage bags do not make good parachutes. 

2. A 3-year-old is louder than 200 adults in a crowded restaurant.

3. If you spray hair spray on dust bunnies and run over them with roller blades, they can ignite. 
4. If you hook a dog leash over a ceiling fan, the motor is not strong enough to rotate a 42-pound boy wearing Batman underwear and a superman cape. It is strong enough, however, to spread paint on all four walls of a large room. 

5. When using the ceiling fan as a baseball bat, you have to throw the ball up a few times before you get a hit. A ceiling fan can hit a baseball a long way. 

6. The glass in windows (even double pane) doesn't stop a baseball hit by a ceiling fan. 

7. When you hear the toilet flush and the words ""Uh-oh,"" it's already too late. 

8. Brake fluid mixed with Clorox makes smoke, and lots of it. 

9. A six-year-old can start a fire with a flint rock even though a 36-year-old man says they can only do it in the movies. A magnifying glass can start a fire even on an overcast day. 

10. Certain Legos will pass through the digestive tract of a six-year-old. 

11. ""Play-Doh"" and ""microwave"" should never be used in the same sentence. 

12. Super glue is forever. 

13. No matter how much Jell-O you put in a swimming pool you still can't walk on water. 

14. Pool filters do not like Jell-O. 

15. VCRs do not eject PB&J sandwiches even though TV commercials show they do. 

16. A king size waterbed holds enough water to fill a 2000 sq. foot house 4 inches deep. 

17. Marbles in gas tanks make lots of noise in a moving car. 

18. You probably do not want to know what that odor is. 

19. Always look in the oven before you turn it on. Plastic toys do not like ovens. 

20. The spin cycle on the washing machine does not make earthworms dizzy. It will, however, make cats dizzy. 

21. Cats spit up twice their body weight when dizzy.";188;;;
Kids;That Johnny Is So Witty;"One day a teacher told her students to draw a train on a railway track for homework. The next day when the teacher started checking everybody's book, she came up to Little Johnny. ""Show me the homework,"" she demanded. Little Johnny showed the teacher his notebook with only a picture of railroad tracks. The teacher asked, ""Where is the train?"" Little Johnny then replied, ""You came late so the train went away.""";41;;;
Kids;Anthony Jeselnik: Die a Winner;About a month ago some kids in my neighborhood were playing hide-and-go-seek and one of them ended up in an abandoned refrigerator. It's all anybody talked about for weeks. I said, 'Who cares? How many kids you know get to die a winner?';24;;;
Kids;Clinton Jackson: Wedding Reception Pictures;They put these one-time use cameras out on the tables. I thought that was a great idea -- 'til they got them pictures back, realized only them little bad kids had the cameras. They're going through hundreds of pictures like, 'Oh, here's another one of the cat's butt.';27;;;
Kids;Amy Schumer: Friends in Their Late 20s;It's a weird age. They're like, 'Amy, I'm pregnant.' And I still don't know whether to be like, 'Congratulations,' or 'Do you need a ride?';14;;;
Kids;Kareem Matthews: Fake Christmas Tree;My mom would never get us exactly what we wanted. She would always get us something like it. Like at Christmas, we never had a real Christmas tree. We always had one of the ones you put together yourself. Every year, we lose a couple branches. By the time I was 10, the tree had like three branches left.;30;;;
Kids;Greg Fitzsimmons: Wishing Well;We're at a wishing well one day. I'm with my son and I give him a penny, and I said, 'Owen, you take this penny, you throw it in the water, and you can wish for anything you want.' So he takes the penny, throws it into the water. I go, 'What'd you wish for?' He goes, 'To throw the penny in the water.';30;;;
Kids;Turn to Stone;"Two boys are playing by a stream when they spy a woman bathing nude around the bend. One of the boys takes off running in the opposite direction. The other boy chases after him and asks why he took off.

""Well,"" the boy says, ""my mom told me that if I ever spied on a naked lady, I'd turn to stone, and I felt something getting hard!""";33;;;
Kids;Ben Kronberg: Bun in the Oven;A bun in the oven is cute, but a baby in the oven is horrifying.;6;;;
Kids;LeeAnne Ford: Kids Are Smarter Than Grownups;"Little kids are smarter than grownups. Let me tell you something -- I have a niece; when this child was five, I'm thinkin' she's just a baby. Oh, no -- she walked up to me, she said, 'Aunty, do you know what lesbians are?' I said, 'Do you?' She said, 'Uh huh, lesbians are two women who love each other. We love each other, don't we, Aunty?'  'Oh God, yeah, we do, baby. Go on, put on the kd lang. Let's dance.'";41;;;
